City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,iqaluit,63.7506,-68.5145,2.8500000000000227,93,100,2.57,CA,1693473258
66,praia da vitoria,38.7333,-27.0667,22.090000000000032,88,40,2.21,PT,1693473261
67,champerico,14.3,-91.9167,26.82000000000005,82,100,2.51,GT,1693473263
68,kaa-khem,51.6833,94.7333,28.99000000000001,29,98,1.93,RU,1693473266
69,ilhabela,-23.7781,-45.3581,17.310000000000002,83,12,1.02,BR,1693473268
70,san antonio de pale,-1.4014,5.6325,23.600000000000023,87,100,5.48,GQ,1693473271
71,sisimiut,66.9395,-53.6735,3.830000000000041,80,61,9.71,GL,1693473273
72,san luis de la loma,17.2706,-100.8939,24.980000000000018,85,94,2.23,MX,1693473276
73,anadyr,64.75,177.4833,12.28000000000003,71,0,6.71,RU,1693473278
74,thompson,55.7435,-97.8558,15.090000000000032,94,75,1.54,CA,1693473281
75,boa vista,2.8197,-60.6733,25.99000000000001,83,0,1.03,BR,1693473283
76,yellowknife,62.456,-114.3525,16.980000000000018,97,92,1.79,CA,1693473286
77,haiku-pauwela,20.9219,-156.3051,25.02000000000004,77,20,6.26,US,1693473288
78,afaahiti,-17.75,-149.2833,22.930000000000007,75,90,4.27,PF,1693473291
79,tokar,18.4254,37.729,36.68000000000001,34,64,12.76,SD,1693473293
80,ancud,-41.8697,-73.8203,7.590000000000032,85,100,6.11,CL,1693473296
81,lihue,21.9789,-159.3672,26.77000000000004,80,20,7.72,US,1693473298
82,nizhneangarsk,55.7833,109.55,16.30000000000001,65,97,0.37,RU,1693473300
83,taoudenni,22.6783,-3.9836,39.64000000000004,20,100,4.4,ML,1693473304
84,bilibino,68.0546,166.4372,3.590000000000032,86,90,6.12,RU,1693473307
85,kenora,49.8167,-94.4337,16.54000000000002,82,20,3.6,CA,1693473310
86,port elizabeth,-33.918,25.5701,21.160000000000025,68,0,7.2,ZA,1693473316
87,albany,42.6001,-73.9662,15.25,79,41,3.01,US,1693473318
88,selkirk,50.1436,-96.8845,19.49000000000001,82,19,1.34,CA,1693473321
89,iaciara,-14.0958,-46.6317,23.810000000000002,67,94,1.43,BR,1693473323
90,grand baie,-20.0182,57.5802,25.25,57,8,3.13,MU,1693473326
91,corlette,-32.7201,152.1085,17.660000000000025,87,5,2.68,AU,1693473328
92,ruteng,-8.6136,120.4721,19.189999999999998,60,74,0.63,ID,1693473331
93,kralendijk,12.15,-68.2667,28.99000000000001,84,40,6.17,BQ,1693473333
94,hameenlinna,60.996,24.4643,17.75,98,100,2.42,FI,1693473169
95,bestobe,52.4994,73.0975,18.840000000000032,40,98,8.83,KZ,1693473338
96,tolanaro,-25.0319,46.9987,24.08000000000004,59,51,7.45,MG,1693473343
97,tenosique,17.4833,-91.4333,24.430000000000007,93,100,0.89,MX,1693473129
98,mount gambier,-37.8333,140.7667,10.210000000000036,76,56,3.34,AU,1693473058
99,mili,6.0815,171.735,29.150000000000034,75,92,4.33,MH,1693473351
100,merizo village,13.2658,144.6691,26.310000000000002,97,100,5.8,GU,1693473353
101,iskateley,67.6803,53.1512,15.920000000000016,51,12,3.51,RU,1693473356
102,vadso,70.0744,29.7487,15.490000000000009,82,20,6.17,NO,1693473359
103,contai,21.7786,87.7536,32.24000000000001,63,26,4.81,IN,1693473361
104,barra de santo antonio,-9.4047,-35.5072,23.600000000000023,83,71,4.12,BR,1693473364
105,galesong,-5.3166,119.3661,32.01000000000005,55,21,7.61,ID,1693473367
106,uturoa,-16.7333,-151.4333,24.08000000000004,70,87,5.17,PF,1693473370
107,kidal,18.4411,1.4078,36.910000000000025,23,37,3.59,ML,1693473373
108,axim,4.8699,-2.2405,26.08000000000004,81,97,3.33,GH,1693473375
109,pavlodol'skaya,43.7192,44.4781,30.710000000000036,29,0,4.3,RU,1693473378
110,neyriz,29.1988,54.3278,34.22000000000003,11,0,3.17,IR,1693473380
111,tazovsky,67.4667,78.7,12.03000000000003,45,41,3.25,RU,1693473383
112,visegrad,43.7847,19.2992,24.370000000000005,51,37,1.29,BA,1693473385
113,howard springs,-12.497,131.047,27.950000000000045,62,49,3.49,AU,1693473388
114,port mathurin,-19.6833,63.4167,22.400000000000034,71,4,5.1,MU,1693473390
115,badger,64.8,-147.5333,10.930000000000007,93,100,2.06,US,1693473393
116,arkhangel'sk,64.5401,40.5433,13.129999999999995,93,100,2.01,RU,1693473096
117,tughyl,47.7252,84.2063,26.180000000000007,35,96,10.23,KZ,1693473398
118,gizo,-8.103,156.8419,26.090000000000032,77,100,7.71,SB,1693473400
119,san patricio,28.017,-97.5169,28.910000000000025,60,7,2.74,US,1693473402
120,padang,-0.9492,100.3543,30.03000000000003,82,74,3.9,ID,1693473130
121,petauke,-14.2426,31.3253,25.939999999999998,29,0,2.25,ZM,1693473320
122,wailua homesteads,22.0669,-159.378,26.439999999999998,84,20,7.72,US,1693473410
123,cabo san lucas,22.8909,-109.9124,29.860000000000014,80,89,2.68,MX,1693473412
124,treviso,45.6667,12.245,23.25,63,40,3.09,IT,1693473415
125,utrik,11.2278,169.8474,28.680000000000007,76,22,7.31,MH,1693473418
126,zambezi,-13.5432,23.1047,26.910000000000025,17,0,3.19,ZM,1693473420
127,pisco,-13.7,-76.2167,16.03000000000003,82,8,1.03,PE,1693473423
128,avarua,-21.2078,-159.775,19.03000000000003,68,75,1.03,CK,1693473425
129,hawaiian paradise park,19.5933,-154.9731,25.730000000000018,91,100,3.6,US,1693473428
130,flin flon,54.7682,-101.865,14.480000000000018,67,89,2.98,CA,1693473431
131,novodvinsk,64.4165,40.8122,12.840000000000032,94,100,1.77,RU,1693473434
132,sinabang,2.4803,96.3801,26.870000000000005,84,95,3.08,ID,1693473436
133,afif,23.9065,42.9172,38.54000000000002,13,12,5.23,SA,1693473439
134,tura,25.5198,90.2201,31.840000000000032,58,58,1.6,IN,1693473441
135,new norfolk,-42.7826,147.0587,9.720000000000027,86,66,2.16,AU,1693473444
